,Title,Product #,Released,Lowest,Average,Highest,URL
168,Happy New Year Barbie Doll,X8282,2013,75,192,182,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-new-year-barbie-doll.jpg
169,Carnival Cruise Barbie,15186,1997,20,192,66,https://www.barbiedb.com/wp-content/uploads/2021/07/15186-1997-carnival-cruise-barbie.jpg
170,Tales of the Arabian Nights Giftset,50827,2001,98,110,175,https://www.barbiedb.com/wp-content/uploads/2020/05/tales-of-the-arabian-nights-giftset.jpg
171,Barbie Portable Playmates,?,1991,75,110,100,https://www.barbiedb.com/wp-content/uploads/2020/05/0-1991-barbie-portable-playmates-1024x809.jpg
172,Barbie Bubble Cut,5,1961,150,110,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-bubble-cut.jpg
173,Winter’s Eve Barbie,13613,1994,2,110,44,https://www.barbiedb.com/wp-content/uploads/2021/07/13613-winters-eve-658x1024.jpg
174,Twirling Ballerina Barbie,15086,1995,6,110,36,https://www.barbiedb.com/wp-content/uploads/2021/07/15086-1995-twirling-ballerina-barbie-529x1024.jpg
175,Happy Holidays Barbie (AA),2396,1992,14,30,50,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-2396.jpg
176,Barbie In A Christmas Carol as Eden Starling,N6207,2008,9,30,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-in-a-christmas-carol-as-eden-starling.jpg
177,See’s Candies Barbie,27289,1999,14,30,51,https://www.barbiedb.com/wp-content/uploads/2022/09/27289-1999-27289-1999-sees-candies-barbie-679x1024.jpg
178,Barbie 1993 Holiday Hallmark Ornament,QX5725,1993,4,30,33,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1993-holiday-hallmark-ornament.jpg
179,"Holiday Princess Belle, from Disney’s Beauty and the Beast: The Enchanted Christmas",16710,1997,6,30,41,https://www.barbiedb.com/wp-content/uploads/2022/02/16710-1997-holiday-princess-belle-from-disneys-beauty-and-the-beast-the-enchanted-christmas-707x1024.jpg
180,XXXOOO Barbie,23952,1999,6,14,30,https://www.barbiedb.com/wp-content/uploads/2021/07/23952-1999-xxxooo-barbie-342x1024.jpg
181,Scottish Barbie,9845,1990,9,14,70,https://www.barbiedb.com/wp-content/uploads/2020/05/scottish-barbie.jpg
182,Indiana University Cheerleader Barbie,20044,1996,19,14,48,https://www.barbiedb.com/wp-content/uploads/2020/05/20044-1996-indiana-university-cheerleader-barbie-545x1024.jpg
183,Valentine Wishes Barbie,50879,2001,9,14,45,https://www.barbiedb.com/wp-content/uploads/2022/10/50879-2001-valentine-wishes-barbie-364x1024.jpg
